2025-11-25 10:20:15,706 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 10:20:15,707 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 10:20:15,707 | INFO    | dnd_bot | Starting bot...
2025-11-25 10:20:15,707 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 10:20:16,087 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 10:20:21,274 | INFO    | dnd_bot | create from Doge_tm (478122255)
2025-11-25 10:20:21,624 | INFO    | aiogram.event | Update id=589781333 is handled. Duration 350 ms by bot id=8500394417
2025-11-25 10:20:22,693 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='человек (интеллект+1, сила+1, ловкость+1)' entities=None
2025-11-25 10:20:22,852 | INFO    | aiogram.event | Update id=589781334 is handled. Duration 159 ms by bot id=8500394417
2025-11-25 10:20:23,402 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='воин' entities=None
2025-11-25 10:20:23,535 | INFO    | aiogram.event | Update id=589781335 is handled. Duration 133 ms by bot id=8500394417
2025-11-25 10:20:24,579 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='8' entities=None
2025-11-25 10:20:24,702 | INFO    | aiogram.event | Update id=589781336 is handled. Duration 123 ms by bot id=8500394417
2025-11-25 10:20:25,185 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='2' entities=None
2025-11-25 10:20:25,313 | INFO    | aiogram.event | Update id=589781337 is handled. Duration 127 ms by bot id=8500394417
2025-11-25 10:20:25,779 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:20:25,901 | INFO    | aiogram.event | Update id=589781338 is handled. Duration 122 ms by bot id=8500394417
2025-11-25 10:20:26,323 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:20:26,449 | INFO    | aiogram.event | Update id=589781339 is handled. Duration 126 ms by bot id=8500394417
2025-11-25 10:20:26,928 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:20:27,052 | INFO    | aiogram.event | Update id=589781340 is handled. Duration 124 ms by bot id=8500394417
2025-11-25 10:20:27,475 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:20:27,475 | INFO    | dnd_bot | Saving character for Doge_tm (478122255) race=человек class=воин attrs={'сила': 8, 'ловкость': 2, 'интеллект': 0, 'внимание': 0, 'скрытность': 0, 'реакция': 0}
2025-11-25 10:20:27,616 | INFO    | aiogram.event | Update id=589781341 is handled. Duration 140 ms by bot id=8500394417
2025-11-25 10:20:29,099 | INFO    | dnd_bot | /list from Doge_tm (478122255)
2025-11-25 10:20:29,220 | INFO    | aiogram.event | Update id=589781342 is handled. Duration 121 ms by bot id=8500394417
2025-11-25 10:20:46,997 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='/sop' entities=[MessageEntity(type='bot_command', offset=0, length=4, url=None, user=None, language=None, custom_emoji_id=None)]
2025-11-25 10:20:46,997 | INFO    | aiogram.event | Update id=589781343 is handled. Duration 0 ms by bot id=8500394417
2025-11-25 10:20:48,643 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='/stop' entities=[MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]
2025-11-25 10:20:48,643 | INFO    | aiogram.event | Update id=589781344 is handled. Duration 0 ms by bot id=8500394417
2025-11-25 10:20:55,624 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 10:20:55,624 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 10:20:55,625 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 10:20:55,877 | INFO    | dnd_bot | Bot stopped
2025-11-25 10:28:50,291 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 10:28:50,291 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 10:28:50,291 | INFO    | dnd_bot | Starting bot...
2025-11-25 10:28:50,292 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 10:28:50,676 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 10:28:56,993 | INFO    | dnd_bot | create from Doge_tm (478122255)
2025-11-25 10:29:07,034 | INFO    | aiogram.event | Update id=589781345 is handled. Duration 10041 ms by bot id=8500394417
2025-11-25 10:29:09,666 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='дварф (сила+1, скрытность+2, ловкость-1, интеллект+1)' entities=None
2025-11-25 10:29:09,935 | INFO    | aiogram.event | Update id=589781346 is handled. Duration 268 ms by bot id=8500394417
2025-11-25 10:29:11,731 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='лучник' entities=None
2025-11-25 10:29:11,882 | INFO    | aiogram.event | Update id=589781347 is handled. Duration 151 ms by bot id=8500394417
2025-11-25 10:29:12,842 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:13,584 | INFO    | aiogram.event | Update id=589781348 is handled. Duration 742 ms by bot id=8500394417
2025-11-25 10:29:14,304 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:14,425 | INFO    | aiogram.event | Update id=589781349 is handled. Duration 121 ms by bot id=8500394417
2025-11-25 10:29:15,091 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:15,955 | INFO    | aiogram.event | Update id=589781350 is handled. Duration 864 ms by bot id=8500394417
2025-11-25 10:29:16,507 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:16,623 | INFO    | aiogram.event | Update id=589781351 is handled. Duration 116 ms by bot id=8500394417
2025-11-25 10:29:17,407 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:19,882 | INFO    | aiogram.event | Update id=589781352 is handled. Duration 2474 ms by bot id=8500394417
2025-11-25 10:29:20,794 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:20,925 | INFO    | aiogram.event | Update id=589781353 is handled. Duration 130 ms by bot id=8500394417
2025-11-25 10:29:26,134 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:26,366 | INFO    | aiogram.event | Update id=589781354 is handled. Duration 231 ms by bot id=8500394417
2025-11-25 10:29:27,761 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='6' entities=None
2025-11-25 10:29:27,913 | INFO    | aiogram.event | Update id=589781355 is handled. Duration 152 ms by bot id=8500394417
2025-11-25 10:29:28,479 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='2' entities=None
